2022-01-21 19:22:28,160 CRITICAL config_server_log.py Критическая ошибка
2022-01-21 19:22:28,160 ERROR    config_server_log.py Ошибка
2022-01-26 13:48:33,772 DEBUG    server.py Отправлен ответ клиенту: {"response": 400, "error": "Wrong action, try again"}
2022-01-26 13:49:00,149 DEBUG    server.py Получено сообщение от клиента: {'action': 'presence', 'time': 1643194140.148969, 'type': 'status', 'user': 'client', 'text': {'status': 'Hello!'}}
2022-01-26 13:49:00,149 DEBUG    server.py Отправлен ответ клиенту: {"response": 200, "msg": "Hi client"}
2022-01-26 13:49:00,151 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643194140.150969, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:49:00,152 DEBUG    server.py Отправлен ответ клиенту: {"response": 400, "error": "Wrong action, try again"}
2022-01-26 13:49:02,161 DEBUG    server.py Получено сообщение от клиента: {'action': 'presence', 'time': 1643194142.161084, 'type': 'status', 'user': 'client', 'text': {'status': 'Hello!'}}
2022-01-26 13:49:02,162 DEBUG    server.py Отправлен ответ клиенту: {"response": 200, "msg": "Hi client"}
2022-01-26 13:49:02,163 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643194142.163084, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:49:02,164 DEBUG    server.py Отправлен ответ клиенту: {"response": 400, "error": "Wrong action, try again"}
2022-01-26 13:49:50,691 INFO     server.py Запущен сервер с параметрами адресс: 127.0.0.1, порт: 7777
2022-01-26 13:50:04,408 DEBUG    server.py Получено сообщение от клиента: {'action': 'presence', 'time': 1643194204.408644, 'type': 'status', 'user': 'client', 'text': {'status': 'Hello!'}}
2022-01-26 13:50:04,408 DEBUG    server.py Отправлен ответ клиенту: {"response": 200, "msg": "Hi client"}
2022-01-26 13:50:04,410 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643194204.410644, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:50:04,410 DEBUG    server.py Отправлен ответ клиенту: {"response": 400, "error": "Wrong action, try again"}
2022-01-26 13:50:15,023 INFO     server.py Запущен сервер с параметрами адресс: 127.0.0.1, порт: 7777
2022-01-26 13:50:18,235 DEBUG    server.py Получено сообщение от клиента: {'action': 'presence', 'time': 1643194218.235435, 'type': 'status', 'user': 'client', 'text': {'status': 'Hello!'}}
2022-01-26 13:50:18,235 DEBUG    server.py Отправлен ответ клиенту: {"response": 200, "msg": "Hi client"}
2022-01-26 13:50:18,237 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643194218.237435, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:50:18,237 DEBUG    server.py Отправлен ответ клиенту: {"response": 400, "error": "Wrong action, try again"}
2022-01-26 13:54:53,575 DEBUG    log_decorator.py Была вызвана функция args_parser c параметрами (), {}. Вызов из модуля __main__
2022-01-26 13:54:53,576 INFO     server.py Запущен сервер с параметрами адресс: 127.0.0.1, порт: 7777
